id,type,nome struttura,descrizione,stelle,image url,provincia,id_regione,age_target,type_of_vacation,price,discount,perbambini,animals
11,city,La Fortezza Medievale,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/243077/pexels-photo-243077.jpeg,Brescia,9,36-60,Lusso-Avventura-Cultura,1980,10,1,1
12,mountain,La Baia Del Corallo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/4117978/pexels-photo-4117978.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Torino,12,61-130,Cultura-Natura-Avventura,1170,20,0,0
13,city,La Fattoria Della Collina,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/2422259/pexels-photo-2422259.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,La Spezia,8,0-18,Avventura-Benessere-Spiaggia,2982,0,1,1
14,sea,Il Rifugio Delle Montagne,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/243077/pexels-photo-243077.jpeg,Sondrio,9,19-35,Lusso-Natura-Degustazione,1842,10,0,0
15,city,Il Resort Del Paradiso,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Venezia,20,36-60,Degustazione-Avventura-Benessere,1513,20,1,1
16,sea,Il Campeggio Del Lago,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://images.pexels.com/photos/2422259/pexels-photo-2422259.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Savona,8,61-130,Avventura-Natura-Cultura,2746,0,0,0
17,mountain,La Casa Del Sole,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Belluno,20,0-18,Benessere-Educazione-Spiaggia,1059,10,1,1
18,sea,L'Albergo Del Lago,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/9774634/pexels-photo-9774634.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Bologna,5,19-35,Natura-Cultura-Spiaggia,1923,20,0,0
19,sea,Il Villaggio Del Sole,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/2105834/pexels-photo-2105834.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Cagliari,14,36-60,Lusso-Avventura-Natura,1563,0,1,1
20,sea,La Cittadella Dei Fiori,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/3220731/pexels-photo-3220731.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Trento,17,61-130,Cultura-Lusso-Benessere,1513,10,0,0
